date/time: ,24/10/2025,13:40
Run 1

time	(LX)
0,000000	2,165616E+3
0,006667	2,116164E+3
0,013333	2,017261E+3
0,020000	2,066713E+3
0,026667	2,140890E+3
0,033333	2,066713E+3
0,040000	1,992535E+3
0,046667	2,066713E+3
0,053333	2,140890E+3
0,060000	1,992535E+3
0,066667	2,140890E+3
0,073333	2,066713E+3
0,080000	2,091438E+3
0,086667	1,992535E+3
0,093333	2,091438E+3
0,100000	2,091438E+3
0,106667	2,017261E+3
0,113333	1,992535E+3
0,120000	2,066713E+3
0,126667	2,140890E+3
0,133333	2,066713E+3
0,140000	2,017261E+3
0,146667	2,091438E+3
0,153333	2,091438E+3
0,160000	2,091438E+3
0,166667	1,992535E+3
0,173333	2,140890E+3
0,180000	1,992535E+3
0,186667	2,091438E+3
0,193333	1,992535E+3
0,200000	2,066713E+3
0,206667	2,140890E+3
0,213333	2,066713E+3
0,220000	1,992535E+3
0,226667	2,140890E+3
0,233333	2,066713E+3
0,240000	2,066713E+3
0,246667	2,091438E+3
0,253333	2,091438E+3
0,260000	2,091438E+3
0,266667	2,091438E+3
0,273333	2,066713E+3
0,280000	2,066713E+3
0,286667	2,091438E+3
0,293333	2,066713E+3
0,300000	2,091438E+3
0,306667	2,066713E+3
0,313333	2,091438E+3
0,320000	2,091438E+3
0,326667	2,091438E+3
0,333333	2,116164E+3
0,340000	1,992535E+3
0,346667	2,140890E+3
0,353333	2,091438E+3
0,360000	2,140890E+3
0,366667	2,140890E+3
0,373333	2,091438E+3
0,380000	2,017261E+3
0,386667	2,066713E+3
0,393333	2,091438E+3
0,400000	2,091438E+3
0,406667	2,066713E+3
0,413333	2,140890E+3
0,420000	2,091438E+3
0,426667	2,017261E+3
0,433333	2,066713E+3
0,440000	2,140890E+3
0,446667	2,091438E+3
0,453333	2,017261E+3
0,460000	2,116164E+3
0,466667	2,066713E+3
0,473333	1,992535E+3
0,480000	2,091438E+3
0,486667	2,066713E+3
0,493333	2,017261E+3
0,500000	1,992535E+3
0,506667	2,116164E+3
0,513333	2,091438E+3
0,520000	2,140890E+3
0,526667	2,066713E+3
0,533333	2,017261E+3
0,540000	2,091438E+3
0,546667	2,140890E+3
0,553333	2,066713E+3
0,560000	1,992535E+3
0,566667	2,066713E+3
0,573333	2,017261E+3
0,580000	1,992535E+3
0,586667	2,140890E+3
0,593333	2,017261E+3
0,600000	2,165616E+3
0,606667	2,091438E+3
0,613333	2,066713E+3
0,620000	2,066713E+3
0,626667	2,091438E+3
0,633333	2,066713E+3
0,640000	2,066713E+3
0,646667	2,116164E+3
0,653333	2,066713E+3
0,660000	2,091438E+3
0,666667	2,140890E+3
0,673333	2,091438E+3
0,680000	2,091438E+3
0,686667	2,017261E+3
0,693333	2,116164E+3
0,700000	2,091438E+3
0,706667	2,017261E+3
0,713333	2,091438E+3
0,720000	2,116164E+3
0,726667	2,091438E+3
0,733333	2,066713E+3
0,740000	2,140890E+3
0,746667	2,091438E+3
0,753333	2,140890E+3
0,760000	2,041987E+3
0,766667	2,091438E+3
0,773333	2,140890E+3
0,780000	2,066713E+3
0,786667	2,091438E+3
0,793333	2,066713E+3
0,800000	2,066713E+3
0,806667	2,116164E+3
0,813333	2,066713E+3
0,820000	2,066713E+3
0,826667	2,140890E+3
0,833333	2,041987E+3
0,840000	2,066713E+3
0,846667	2,140890E+3
0,853333	2,017261E+3
0,860000	2,165616E+3
0,866667	2,041987E+3
0,873333	2,091438E+3
0,880000	2,140890E+3
0,886667	2,091438E+3
0,893333	2,017261E+3
0,900000	2,091438E+3
0,906667	2,116164E+3
0,913333	2,140890E+3
0,920000	2,066713E+3
0,926667	1,992535E+3
0,933333	2,017261E+3
0,940000	2,066713E+3
0,946667	2,066713E+3
0,953333	2,017261E+3
0,960000	2,091438E+3
0,966667	2,140890E+3
0,973333	2,091438E+3
0,980000	2,041987E+3
0,986667	2,066713E+3
0,993333	2,066713E+3
1,000000	2,140890E+3
1,006667	2,066713E+3
1,013333	2,017261E+3
1,020000	2,091438E+3
1,026667	2,066713E+3
1,033333	2,091438E+3
1,040000	2,066713E+3
1,046667	2,017261E+3
1,053333	2,017261E+3
1,060000	2,091438E+3
1,066667	2,066713E+3
1,073333	1,992535E+3
1,080000	2,116164E+3
1,086667	1,992535E+3
1,093333	2,140890E+3
1,100000	2,017261E+3
1,106667	2,091438E+3
1,113333	2,066713E+3
1,120000	2,066713E+3
1,126667	2,091438E+3
1,133333	2,066713E+3
1,140000	1,992535E+3
1,146667	2,066713E+3
1,153333	2,066713E+3
1,160000	1,992535E+3
1,166667	2,066713E+3
1,173333	2,066713E+3
1,180000	1,992535E+3
1,186667	2,140890E+3
1,193333	2,140890E+3
1,200000	1,992535E+3
1,206667	2,017261E+3
1,213333	2,066713E+3
1,220000	2,140890E+3
1,226667	1,992535E+3
1,233333	2,066713E+3
1,240000	2,091438E+3
1,246667	2,066713E+3
1,253333	2,091438E+3
1,260000	1,992535E+3
1,266667	2,116164E+3
1,273333	1,992535E+3
1,280000	2,091438E+3
1,286667	2,140890E+3
1,293333	2,165616E+3
1,300000	2,066713E+3
1,306667	2,066713E+3
1,313333	2,066713E+3
1,320000	2,017261E+3
1,326667	2,091438E+3
1,333333	2,140890E+3
1,340000	2,066713E+3
1,346667	2,017261E+3
1,353333	2,066713E+3
1,360000	2,116164E+3
1,366667	2,140890E+3
1,373333	2,017261E+3
